"brand","title","type","price","priceWithCurrency","available","availableText","sold","lastUpdated","itemLocation"
"Clinique","Clinique Calyx Exhilerating Fragrance Eau de Parfum Spray 1.7oz 50ml, New In Box","Eau de Parfum","42","US $42.00",,"Last One / 11 sold","11","May 24, 2024 09:48:59 PDT","Camarillo, California, United States"
"Sean John","Sean John Unforgivable Women's Body Mist 8 oz - Irresistibly Fresh Perfume Spray","Body Mist","6.99","US $6.99",,"Last One / 6 sold","6","May 14, 2024 10:01:30 PDT","Lincoln Park, Michigan, United States"
"Jo Malone","Jo Malone Red Roses Cologne Intense Spray Women's Eau de  - 3.4 fl oz/100ml","Eau de Cologne","79.99","US $79.99","4","4 available / 6 sold","6","","Las Vegas, Nevada, United States"
"Bvlgari","Omnia Coral by Bvlgari Omnia Coral 2.2 oz EDT Perfume for Women New In Box","Eau de Toilette","32.88","US $32.88/ea","7","7 available / 36 sold","36","May 19, 2024 18:40:40 PDT","California or Hong Kong, Hong Kong"
"Versace","Versace Pour Femme Dylan Blue 3.4 oz EDP Perfume for Women New In Box","Eau de Parfum","55.73","US $55.73/ea","10","10 available / 742 sold","742","May 22, 2024 18:12:32 PDT","Hackensack, New Jersey, United States"
"Elizabeth Arden","5TH AVENUE NYC by Elizabeth Arden Perfume Women 4.2 oz edp NEW IN BOX","Eau de Perfume","16.82","US $16.82/ea","38","38 available / 263 sold","263","May 24, 2024 08:30:08 PDT","Dallas, Texas, United States"
"Viktor & Rolf","Viktor & Rolf Flowerbomb Tiger Lily EDP 0.34oz/10ml. New In Box.","Eau de Parfum","26.99","US $26.99/ea","10","More than 10 available / 65 sold","65","May 19, 2024 20:14:26 PDT","Princeton, New Jersey, United States"
"Liz Claiborne","CURVE by Liz Claiborne 3.4 / 3.3 oz edt Perfume for women New in Can","Eau de Toilette","18.35","US $18.35/ea","67","67 available / 1,926 sold","1926","May 22, 2024 22:59:22 PDT","Dallas, Texas, United States"
"Jo Malone","Jo Malone Perfume Sample Vials 1.5ml - Choose Your Scent Combined Shipping","Eau de Cologne","4.95","US $4.95/ea","10","More than 10 available / 3,954 sold","3954","May 16, 2024 02:57:23 PDT","Pearland, Texas, United States"
"Taylor Swift","Wonderstruck Enchanted ByTaylor Swift .17oz/5ml Edp Splash Mini  Same As Picture","Eau de Parfum","19.9","US $19.90",,"Last One / 41 sold","41","Apr 23, 2024 19:45:31 PDT","New York, New York, United States"
"Adam Levine","Adam Levine by Adam Levine 3.4 oz EDP Perfume for Women New In Box","Eau de Parfum","9.99","US $9.99/ea","10","More than 10 available / 44 sold","44","Apr 29, 2024 12:26:17 PDT","Detroit, Michigan, United States"
"Dolce&Gabbana","DOLCE & GABBANA Devotion Eau de Parfum Miniature Perfume in Box  .17 oz MINI","Eau de Parfum","19.95","US $19.95",,"Last One / 5 sold","5","","Chatsworth, California, United States"
"HERMÈS","Un Jardin Sur Le Toit by Hermes 3.3 oz EDT Spray for Women Eau de Toilette New","Eau de Toilette","49.99","US $49.99/ea","2","2 available / 25 sold","25","May 21, 2024 04:13:49 PDT","HongKong, Hong Kong"
"ALFRED SUNG","FOREVER by Alfred Sung for Women Perfume 4.2 oz New in Box","Eau de Parfum","16.93","US $16.93/ea","52","52 available / 1,516 sold","1516","May 21, 2024 22:29:07 PDT","Dallas, Texas, United States"
"Versace","Versace Dylan Turquoise Eau de Toilette Travel Spray NIB 0.33 oz / 10 ml","Eau de Toilette","19.99","US $19.99/ea","10","More than 10 available / 37 sold","37","May 24, 2024 05:14:27 PDT","Chantilly, Virginia, United States"
"Dolce&Gabbana","Dolce & Gabbana Light Blue  3.3 oz / 3.4 oz EDT Spray for Women Brand New Sealed","Eau de Toilette, Spray","29.95","US $29.95/ea","9","9 available / 9 sold","9","May 24, 2024 05:54:50 PDT","Warren, Michigan, United States"
"Dolce&Gabbana","Dolce & Gabbana Light Blue Summer Vibes Eau de Toilette Sample Spray 1.5ml New","Eau de Toilette","11.95","US $11.95/ea","10","More than 10 available / 73 sold","73","May 17, 2024 03:46:05 PDT","Pearland, Texas, United States"
"Zara","2 ZARA Red Temptation Spray  They Maybe Expired Strong Alcohol Smell NO RETURNS!","Eau de Parfum","15","US $15.00","5","5 available / 10 sold","10","May 16, 2024 04:41:02 PDT","Somerset, Pennsylvania, United States"
"Vera Wang","Flower Princess by Vera Wang for women EDT 3.3 / 3.4 oz New Tester","Eau de Toilette","19.54","US $19.54/ea","19","19 available / 288 sold","288","May 11, 2024 09:46:06 PDT","Dallas, Texas, United States"
"Parfums de Marly","PARFUMS de MARLY DELINA for WOMEN 2.5 oz (75ml) EDP Spray NEW in BOX & SEALED","Eau de Parfum","150","US $150.00","3","3 available / 1 sold","1","","Rock Rapids, Iowa, United States"
"Carolina Herrera","Good Girl by Carolina Herrera 2.7 oz Eau De Parfum Spray Women's New & Sealed","Eau de Parfum","44.49","US $44.49/ea","9","9 available / 5 sold","5","May 24, 2024 05:48:45 PDT","Warren, Michigan, United States"
"AS SHOWN","Y*S*L Libre 3 oz / 90 ml EDP Perfume Spray for Women Gift for her New in Box","Eau de Parfum","59.99","US $59.99/ea","5","5 available / 30 sold","30","May 18, 2024 21:29:18 PDT","USA,California, Hong Kong"
"Dolce&Gabbana","Light Blue by Dolce & Gabbana 3.3 oz Women's Eau de Toilette Spray New & Sealed","Eau de Toilette","32.49","US $32.49/ea","10","More than 10 available / 226 sold","226","May 24, 2024 08:10:07 PDT","Detroit, Michigan, United States"
"Al Rehab","Choco Musk - Al-Rehab Eau De Spray Perfume (50 ml/1.65 fl. oz)-  PACK OF 2","Perfume","14.9","US $14.90/ea","5","5 available / 5 sold","5","","Katy, Texas, United States"
"Jean couturier","CORIANDRE by JEAN COUTURIER for Women 30ml-1oz Eau de Toilette Spray (BQ22","Eau de Toilette","21.95","US $21.95/ea","5","5 available",,"","Los Angeles, California, United States"
"Victoria's Secret","Bombshell by Victoria's Secret 3.4 Oz – Eau De Parfum Spray, Fresh & Sealed","Eau de Parfum","33.99","US $33.99/ea","10","More than 10 available / 80 sold","80","May 24, 2024 08:35:35 PDT","Dearborn, Michigan, United States"
"Estée Lauder","BEAUTIFUL by Estee Lauder 2.5 oz edp Perfume for women New in Box","Eau de Parfum","29.49","US $29.49/ea","10","More than 10 available / 458 sold","458","May 24, 2024 06:47:33 PDT","Lincoln Park, Michigan, United States"
"Chopard","Casmir by Chopard for Women - 3.4 oz EDP Spray","Eau de Parfum","31.23","US $31.23","50","50 available / 101 sold","101","May 20, 2024 13:19:38 PDT","Ronkonkoma, New York, United States"
"Versace","Mini Versace Eros Pour Femme 0.17 oz EDT Perfume for Women New In Box","Eau de Toilette","8.98","US $8.98","6","6 available / 64 sold","64","May 15, 2024 23:04:21 PDT","Hackensack, New Jersey, United States"
"Versace","Versace Yellow Diamond Perfume for Women EDT 3.0 oz 90 ml New in Box","Eau de Toilette","37.99","US $37.99/ea","10","More than 10 available / 147 sold","147","May 20, 2024 11:17:49 PDT","Flat Lick, Kentucky, United States"
"Givenchy","Givenchy Irresistible Rose Velvet 2.7 oz. Eau De Parfum Spray New in Sealed Box","Eau de Parfum","43.99","US $43.99/ea","10","More than 10 available / 24 sold","24","May 21, 2024 18:00:57 PDT","New York, New York, Taiwan"
"CHANGE For Women","Chance Eau de Perfume Natural spray for women 3.4 oz/ 100 ml","Perfume","18.99","US $18.99",,"Last One / 2 sold","2","","Miami, Florida, United States"
"Le Labo","Le Labo Santal 33 Eau de Parfum Sample Spray Vial .05 oz /1.5 ml  New authentic","Eau de Parfum","14.75","US $14.75","10","More than 10 available / 119 sold","119","Apr 26, 2024 15:10:49 PDT","Los Angeles, California, United States"
"Juicy Couture","Viva La Juicy Sucre by Juicy Couture 3.4 oz EDP Perfume for Women New In Box","Eau de Parfum","59.32","US $59.32",,"Limited quantity available / 119 sold","119","May 23, 2024 20:23:26 PDT","Hackensack, New Jersey, United States"
"Creed","Creed Queen Of Silk Eau De Parfum EDP 2.5oz / 75ml New 2024","Eau de Parfum","285","US $285.00","8","8 available / 5 sold","5","May 16, 2024 12:32:50 PDT","Brooklyn, New York, United States"
"ASST","MOTHER'S DAY SALE DG YSL GUESS KENZO  BURBERRY ARMANI LACOSTE CACHERAL MOSCHINO+","ASST","13.37","US $13.37","92","92 available / 7 sold","7","","Henderson, Nevada, United States"
"Versace","Versace Bright Crystal 3.0 fl oz/90ml Eau de Toilette Spray for Women New In Box","Eau de Toilette","38.49","US $38.49/ea","10","More than 10 available / 81 sold","81","May 11, 2024 10:02:14 PDT","Detroit, Michigan, United States"
"Calvin Klein","CK Beauty by Calvin Klein 3.3 / 3.4 oz EDP Perfume for Women New In Box","Eau de Parfum","25.98","US $25.98/ea","10","More than 10 available / 5,255 sold","5255","May 23, 2024 17:00:31 PDT","Hackensack, New Jersey, United States"
"Al-Rehab","Soft - Al-Rehab Eau De Natural Perfume Spray - 35 ml (1.15 fl. oz)","BEAUTY","9.25","US $9.25","10","More than 10 available / 30 sold","30","Apr 23, 2024 22:21:10 PDT","Princeton, New Jersey, United States"
"Estée Lauder","Estee Lauder Bronze Goddess Skinscent Perfume Sample Spray 0.05 oz. / 1.5 ml New","Perfume","11.95","US $11.95/ea","3","3 available / 7 sold","7","Apr 23, 2024 10:16:37 PDT","Louisville, Kentucky, United States"
"Tiziana Terenzi","Atlantide by Tiziana Terenzi 1.5ml Vial Spray New Factory Sealed","Extract Parfum","13","US $13.00",,"Last One / 5 sold","5","May 16, 2024 18:26:10 PDT","Fort Walton Beach, Florida, United States"
"Juliette has a gun","Not a Perfume By Juliette Has A Gun Eau De Parfum Spray 3.3 oz 100ml For Women","Eau de Parfum","42.99","US $42.99","10","More than 10 available / 32 sold","32","May 01, 2024 13:23:39 PDT","Brooklyn, New York, United States"
"HERMÈS","Un Jardin Sur La Lagune By Hermes EDT For Women 3.3 oz / 100 ml *NEW IN BOX*","Eau de Toilette","67.99","US $67.99","10","More than 10 available / 110 sold","110","Feb 15, 2024 10:19:30 PST","Miami, Florida, United States"
"PRADA","PRADA CANDY BY PRADA 2.7 FL OZ EAU DE PARFUM SPRAY NEW & SEALED","Eau de Parfum","44.99","US $44.99/ea","2","2 available / 114 sold","114","May 14, 2024 05:39:26 PDT","Reinholds, Pennsylvania, United States"
"ALFRED SUNG","TESTER SUNG * Alfred Sung * Perfume for Women * 3.4 oz * BRAND NEW","Eau de Toilette","16.2","US $16.20/ea","10","More than 10 available / 2,472 sold","2472","May 24, 2024 10:11:44 PDT","Orlando, Florida, United States"
"Lanvin","Eclat D'Arpege by Lanvin 3.3 / 3.4 oz EDP Perfume for Women New In Box","Eau de Parfum","31.41","US $31.41/ea",,"Limited quantity available / 5,107 sold","5107","May 24, 2024 09:31:02 PDT","Hackensack, New Jersey, United States"
"Ariana Grande","Ariana Grande Cloud PINK EDP - Dreamy Vanilla Scent 3.4oz Sealed","Eau de Parfum","29.99","US $29.99/ea","6","6 available / 9 sold","9","May 22, 2024 10:58:18 PDT","Hamtramck, Michigan, United States"
"Cacharel","Noa by Cacharel for Women Eau de Toilette Spray - 1 fl oz - SPRING SALE !","Does Not Apply","20","US $20.00/ea","10","More than 10 available / 79 sold","79","Apr 28, 2024 19:08:51 PDT","New York, New York, United States"
"Tory Burch","Tory Burch Signature Eau de Parfum  0.2oz / 6ml  Rollerball  NEW","Eau de Parfum","19.95","US $19.95","4","4 available / 27 sold","27","May 13, 2024 09:07:13 PDT","Fort Lauderdale, Florida, United States"
"Jo Malone","Jo Malone English Pear & Freesia Cologne EDC Perfume for Women With Sealed Box","Eau de Cologne","49.99","US $49.99","7","7 available / 122 sold","122","May 23, 2024 05:56:00 PDT","United States, Canada"
"Jo Malone","Jo Malone Peony & Blush Suede Cologne Spray Women's Eau de  - 3.4 fl oz/100ml","Eau de Cologne","79.99","US $79.99","9","9 available / 1 sold","1","Apr 30, 2024 01:12:45 PDT","Las Vegas, Nevada, United States"
"YSL","Yves Saint Laurent Black Opium Women's Perfume EDP 3.0 oz 90 ml Sealed New","Eau de Parfum","45.99","US $45.99",,"Last One / 27 sold","27","May 24, 2024 00:07:54 PDT","Stuyvesant Falls, New York, United States"
"Miraclelayer","Miraclelayer CETALOX  EDP 50ml (a real perfume)","Eau de Parfum","27","US $27.00/ea","10","More than 10 available / 61 sold","61","Jan 24, 2024 07:11:16 PST","Hicksville, New York, United States"
"Ouai","OUAI North Bondi Eau de Parfume .34 oz/ 10ml - Brand New","Eau de Parfum","22.99","US $22.99/ea","7","7 available / 39 sold","39","Mar 02, 2024 18:50:58 PST","Beverly Hills, California, United States"
"Fragrance Couture","""La Vida Bella  For Women Eau De Parfum By Fragrance Couture 3.4","Eau de Parfum","13.99","US $13.99/ea","10","More than 10 available / 34 sold","34","May 10, 2024 16:05:14 PDT","Fort Lauderdale, Florida, United States"
"Lancôme","La Vie Est Belle IRIS ABSOLU by Lancome 3.4 oz L'Eau de Parfum Spray New In Box","Eau de Parfum","61.99","US $61.99","4","4 available / 49 sold","49","May 19, 2024 01:35:33 PDT","New Jersey, Hong Kong"
"Parfums de Marly","PARFUMS de MARLY DELINA for WOMEN 2.5 oz (75ml) EDP Spray NEW","Eau de Parfum","99.99","US $99.99","2","2 available / 19 sold","19","May 20, 2024 20:01:31 PDT","Jefferson, Texas, United States"
"Valentino","New Valentino Donna Born In Roma Intense 3.4 oz EDP Intense Spray For Women","Eau de Parfum","99.99","US $99.99",,"Last One / 19 sold","19","May 16, 2024 04:11:25 PDT","Amigo, West Virginia, United States"
"Coach","Coach New York Eau de Parfum, Perfume for Women .15 oz Mini, Splash","Eau de Parfum","13.95","US $13.95","10","More than 10 available / 24 sold","24","May 14, 2024 06:52:51 PDT","Tallman, New York, United States"
"CHANEL","Chanel Coromandel Les Exclusifs Eau De Parfum Mini Splash Bottle 4ml NIB","Eau de Parfum","31.95","US $31.95/ea","10","10 available / 196 sold","196","Mar 01, 2024 17:52:52 PST","Pearland, Texas, United States"
"Dolce & Gabbana","Light Blue by Dolce & Gabbana, 3.3 oz EDT Spray for Women","Eau De Toilette","49.51","US $49.51/ea","10","More than 10 available / 635 sold","635","May 23, 2024 21:14:46 PDT","Edison, New Jersey, United States"
"One Direction","Our Moment by One Direction 3.4 oz / 100 ml Edp spy perfume for women femme","Eau de Parfum","59.5","US $59.50/ea","10","More than 10 available / 3 sold","3","May 23, 2024 10:17:11 PDT","Lynwood, California, United States"
"Parfums de Marly","Valaya Parfums de Marly for women  2.5 oz/75 ml Eau de Parfum New In Box","Eau de Parfum","99.99","US $99.99","2","2 available / 12 sold","12","May 23, 2024 18:32:40 PDT","Jefferson, Texas, United States"
"Gucci","Gucci Bamboo 2.5 oz EDP Elegant Perfume for Women Floral Fragrance Sealed","Eau de Parfum","54.99","US $54.99/ea","10","10 available / 31 sold","31","May 10, 2024 09:52:19 PDT","Southgate, Michigan, United States"
"Mancera","Sicily by Mancera 4 oz EDP Perfume for Men Women Unisex Brand New in Box","Eau de Parfum","69.58","US $69.58","10","More than 10 available / 104 sold","104","May 22, 2024 10:44:46 PDT","Hackensack, New Jersey, United States"
"Montale","Montale Chocolate Greedy by Montale, 3.4 oz EDP Spray for Unisex","Eau De Parfum","59.23","US $59.23/ea","10","More than 10 available / 51 sold","51","May 22, 2024 20:27:57 PDT","Edison, New Jersey, United States"
"Thierry Mugler","Thierry Mugler Angel Women's EDP 3.4oz Scent Spray New","Eau de Parfum","49.99","US $49.99/ea","5","5 available / 17 sold","17","May 22, 2024 08:56:37 PDT","Detroit, Michigan, United States"
"Tom Ford","TOM FORD SOLEIL BLANC SHIMMERING BODY OIL GOLD - 1.5 OZ - NEW","Shimmering Body Oil","34.99","US $34.99/ea","9","9 available / 30 sold","30","Apr 01, 2024 16:48:27 PDT","East Brunswick, New Jersey, United States"
"Michael Kors","Michael Kors Sexy Blossom for Women EDP Spray 3.4 oz / 100 ml New In Box","Eau de Parfum","35.79","US $35.79/ea","3","3 available / 110 sold","110","May 22, 2024 21:48:36 PDT","Jamaica, New York, United States"
"Lattafa","Rave Now Women EDP Perfume By Rave Lattafa 100 ML🥇Gift Rich Amazing Fragrance🥇","Eau de Parfum","30.89","US $30.89/ea","8","8 available / 8 sold","8","May 23, 2024 13:03:59 PDT","Dallas, Texas, United States"
"Parfums de Marly","Valaya Parfums de Marly for women  2.5 oz/75 ml Eau de Parfum Spray New In Box","Eau de Parfum","99.99","US $99.99",,"Last One / 10 sold","10","May 11, 2024 01:34:17 PDT","Jefferson, Texas, United States"
"Armaf","ARMAF OMBRE OUD INTENSE 3.4 FL. OZ / 100 ML EAU DE PARFUM FOR MEN","Eau de Parfum","99.95","US $99.95","10","More than 10 available / 79 sold","79","May 17, 2024 11:37:14 PDT","Houston, Texas, United States"
"Prince Matchabelli","Wind Song by Prince Matchabelli 4 oz Dusting Powder for Women New In Box","Body Powder","14.94","US $14.94/ea","3","3 available / 1,454 sold","1454","May 08, 2024 12:00:09 PDT","Hackensack, New Jersey, United States"
"Givenchy","Ysatis By Givenchy Eau de Toilette for Women 3.3 oz / 100 ml *NEW IN SEALED BOX*","Eau de Toilette","49.99","US $49.99","10","More than 10 available / 43 sold","43","May 08, 2024 10:42:59 PDT","Miami, Florida, United States"
"Lattafa","Yara Tous by Lattafa perfume for Women EDP 3.4 oz New In Box","Eau de Perfume","29.06","US $29.06/ea","103","103 available / 152 sold","152","May 21, 2024 07:02:29 PDT","Dallas, Texas, United States"
"Giardini Di Toscana","Bianco Latte EDP by Giardini Di Toscana  100 Ml Missing Two Sprays","Perfume","140","US $140.00",,"",,"","Houston, Texas, United States"
"Assorted","Women Designer Perfume Vials Samples Choose Scents, Combined Shipping & Discount","Perfume","1.99","US $1.99/ea","10","More than 10 available / 4,912 sold","4912","May 18, 2024 18:34:58 PDT","Flushing, New York, United States"
"Kilian","Good Girl Gone Bad By Kilian 50 ml/ 1.7oz Eau de Parfum Spray NEW SEALED","Eau de Parfum","54.99","US $54.99/ea","4","4 available / 4 sold","4","May 08, 2024 18:29:03 PDT","Pomona,California USA, Hong Kong"
"Jessica Simpson","Fancy by Jessica Simpson 3.4 oz EDP Perfume for Women New In Box","Eau de Parfum","26.14","US $26.14/ea","10","More than 10 available / 2,724 sold","2724","May 23, 2024 09:27:27 PDT","Hackensack, New Jersey, United States"
"Carolina Herrera","Carolina Herrera Good Girl EDP Supreme 1.5ml .05fl oz x 4 Perfume Spray Samples","Eau De Parfum Supreme","13.75","US $13.75","10","More than 10 available / 52 sold","52","","Payson, Utah, United States"
"Ariana Grande","NEW Ariana Grande 4 Piece  Body Spray Coffret, 1.7 Ounce. FREE SHIPPING","Gift Sets","17.99","US $17.99/ea","5","5 available / 17 sold","17","May 21, 2024 17:39:38 PDT","Multiple Locations, United States"
"Juicy Couture","Juicy Couture By Juicy Couture Eau De Parfum Spray  Perfume Authentic 1 oz","Eau de Parfum","14.99","US $14.99","10","More than 10 available / 5 sold","5","Apr 12, 2024 12:50:40 PDT","Pembroke, North Carolina, United States"
"Elizabeth Arden","BLUE GRASS by Elizabeth Arden 3.3 oz edp New in Box Sealed","Eau de Parfum","16.3","US $16.30/ea","159","159 available / 1,053 sold","1053","May 14, 2024 16:07:07 PDT","Dallas, Texas, United States"
"Victoria's Secret","Victoria Secret Bombshell Fragrance Mist 250ml-FREE SHIPPING","Fragrance Mist","18.04","US $18.04","10","More than 10 available / 3 sold","3","May 20, 2024 17:52:50 PDT","Columbus, Georgia, United States"
"HERMÈS","Twilly d'Hermes 7.5ml EDP Mini Splash (New with box)","Eau de Parfum","13.88","US $13.88/ea","10","More than 10 available / 68 sold","68","May 24, 2024 09:51:27 PDT","New York, New York, United States"
"love luxe beauty","Kuromi  Perfume","Perfume","15","US $15.00","4","4 available / 1 sold","1","","Anaheim, California, United States"
"Ariana Grande","Ariana Grande Cloud Pink Eau de Parfum 3.4 oz 100 ML Brand New & Sealed Box","Eau de Parfum","32.99","US $32.99/ea","9","9 available / 83 sold","83","May 20, 2024 07:50:48 PDT","Las Vegas, Nevada, United States"
"Giorgio Armani","My Way by Giorgio Armani 3oz 90ml EDP Perfume for Women New In Box USA","Eau de Parfum","49.99","US $49.99/ea","2","2 available / 54 sold","54","May 20, 2024 01:43:33 PDT","Dayton, New Jersey, Canada"
"Thierry Mugler","THIERRY MUGLER AURA MUGLER EAU DE TOILETTE REFILLABLE SPRAY 30 ML/ 1.0 FL OZ","Eau de Toilette","40","US $40.00","5","5 available / 1 sold","1","","Franklin Square, New York, United States"
"Tru Fragrance","Tru Fragrance Strawberry Icing Perfume EDP 3.4 oz FREE SHIPPING","Eau de Parfum","29.95","US $29.95",,"Last One / 1 sold","1","","Forest Hills, New York, United States"
"Dossier","Dossier MUSKY MUSK Eau de Parfum 1.7 Fl oz / 50 mL Perfume NEW IN BOX","Eau de Parfum","20","US $20.00/ea","10","More than 10 available",,"","Los Angeles, California, United States"
"Burberry","Burberry Weekend by Burberry 3.3 / 3.4 oz EDP Perfume For Women New In Box","Eau de Parfum","34.09","US $34.09/ea","252","252 available / 1,429 sold","1429","May 24, 2024 10:50:08 PDT","Dallas, Texas, United States"
"Givenchy","Givenchy Irresistible Eau De Parfume 2.7 Oz. 80ML Spray for Women NEW IN BOX","Eau de Parfum","55.63","US $55.63","10","10 available / 57 sold","57","May 20, 2024 17:32:39 PDT","United States, Hong Kong"
"HUGO BOSS","Deep Red by Hugo Boss EDP Perfume for Women 3.0 oz Brand New In Box","Eau de Parfum","27.25","US $27.25/ea","10","More than 10 available / 3,555 sold","3555","May 24, 2024 11:08:02 PDT","Hackensack, New Jersey, United States"
"Sabrina Carpenter","Sweet Tooth by Sabrina Carpenter Perfume Women 2.5 oz New without Box & Cap","Eau de Parfum","29.99","US $29.99","10","More than 10 available / 17 sold","17","May 17, 2024 11:38:31 PDT","Bogota, New Jersey, United States"
"Perry Ellis","360 PURPLE Perry Ellis Women 3.4 oz 3.3 edp perfume spray NEW IN BOX","Eau de Parfum","25.47","US $25.47/ea","96","96 available / 1,616 sold","1616","May 18, 2024 17:18:46 PDT","Dallas, Texas, United States"
"Nest","Assorted Nest Perfume Oil .10 Fl Oz /3ML Rollerball Each New","Perfume","9.99","US $9.99","8","8 available / 139 sold","139","Mar 11, 2024 15:26:21 PDT","Giddings, Texas, United States"
"GUESS","Guess Seductive Red by Guess for women EDT 2.5 oz new in Box","Eau de Toilette","22.95","US $22.95/ea","20","20 available / 294 sold","294","Mar 27, 2024 12:54:40 PDT","Dallas, Texas, United States"
"Evyan","White Shoulders 4.5 oz Perfume for Women Eau de Cologne Spray New In Box","Eau de Cologne","18.62","US $18.62/ea","10","More than 10 available / 2,477 sold","2477","May 24, 2024 08:16:13 PDT","Hackensack, New Jersey, United States"
"Gucci","Gucci Rush by Gucci EDT Perfume for Women 2.5 oz Brand New Tester","Eau de Toilette","64.94","US $64.94","10","More than 10 available / 1,613 sold","1613","May 24, 2024 07:20:03 PDT","Hackensack, New Jersey, United States"
"Avon","2 PCS.SET Avon sweet honesty cologne PERFUME Spray 1.7 oz/With TRAVEL SPRAY","cologne","14.89","US $14.89/ea","6","6 available / 30 sold","30","","West Palm Beach, Florida, United States"
"Jo Malone","Jo Malone Lime Basil & Mandarin Cologne Spray Women's Eau de  - 3.4 fl oz/100ml","Eau de Cologne","79.99","US $79.99","8","8 available / 2 sold","2","Apr 30, 2024 01:12:46 PDT","Las Vegas, Nevada, United States"
"Britney Spears","Hidden Fantasy by Britney Spears 3.3 / 3.4 oz EDP For Women NEW IN BOX","Eau de Parfum","19.24","US $19.24/ea","7","7 available / 1,337 sold","1337","Apr 22, 2024 08:27:42 PDT","Dallas, Texas, United States"
"Elizabeth Taylor","Elizabeth Taylor Perfume Gift Set, White Diamonds , 2 Pieces","Perfume Gift Sets","18.87","US $18.87",,"Last One / 1 sold","1","May 24, 2024 07:24:18 PDT","Ontario, California, United States"
"Kim Kardashian","Pure Honey by Kim Kardashian perfume for women EDP 3.3 / 3.4 oz New in Box","Eau de Parfum","19.53","US $19.53/ea","47","47 available / 537 sold","537","May 08, 2024 12:19:44 PDT","Dallas, Texas, United States"
"PRADA","PRADA Paradoxe by Prada EDP 3.0oz/90ml Spray Perfume for Women New In Box USA","Eau de Parfum","54.42","US $54.42",,"Last One / 34 sold","34","May 10, 2024 02:57:19 PDT","California, Hong Kong"
"Sarah Jessica Parker","Lovely Jessica Parker 2pc Gift Set 3.4oz Perfume + Body Lotion 6.7oz~damaged box","Perfume","25.99","US $25.99/ea","13","13 available / 39 sold","39","May 22, 2024 13:54:03 PDT","Staten Island, New York, United States"
"Dolce&Gabbana","Dolce & Gabbana Light Blue EDT 3.3 oz 3.4 oz Crisp Refreshing Women's Scent","Eau de Toilette, Spray","32.49","US $32.49/ea","6","6 available / 18 sold","18","May 24, 2024 09:31:28 PDT","Farmington, Michigan, United States"
"Lanvin","ARPEGE by Lanvin 3.3 / 3.4 oz EDP For Women New in Box Sealed","Eau de Parfum","24.77","US $24.77/ea","200","200 available / 1,585 sold","1585","May 23, 2024 12:54:07 PDT","Dallas, Texas, United States"
"CHANEL","Coco Mademoiselle Eau De Parfum Perfume Sample Vial Travel 1.5 Ml/0.05 Oz by Par","Eau de Parfum","18.76","US $18.76","4","4 available / 229 sold","229","May 24, 2024 11:12:04 PDT","Sarasota, Florida, United States"
"Valentino","Valentino Donna Born in Roma Intense EDP Spray For Women 100ml/3.4oz","Eau de Parfum","100.99","US $100.99",,"Last One / 10 sold","10","May 16, 2024 03:54:55 PDT","Oxnard, California, United States"
"Britney Spears","CURIOUS Britney Spears women perfume edp 3.3 oz. 3.4 NEW IN BOX","Eau de Parfum","18.9","US $18.90/ea","245","245 available / 3,860 sold","3860","May 21, 2024 12:14:06 PDT","Dallas, Texas, United States"
"Sarah Jessica Parker","LOVELY by Sarah Jessica Parker Perfume for Women 3.4 oz 100 ml EDP Spray NEW","Eau de Parfum","19.95","US $19.95",,"Last One / 915 sold","915","Apr 24, 2024 05:24:27 PDT","TX, United States"
"Parfums Grès","CABOTINE ROSE PARFUMS GRES for Women 3.3 edt 3.4 oz  Spray New in Box","Eau de Toilette","14.49","US $14.49/ea","45","45 available / 506 sold","506","May 24, 2024 09:46:09 PDT","Dallas, Texas, United States"
"Multiple Brands","Men's cologne Perfume Sampler fragrance designer Travel-Size 10PCS sampler set","Perfume","9.99","US $9.99","6","6 available / 4 sold","4","May 22, 2024 22:30:16 PDT","El Monte, California, United States"
"Clinique","Happy by Clinique, 3.4 oz Perfume Spray for Women","Perfume","26.12","US $26.12/ea","10","More than 10 available / 235 sold","235","May 24, 2024 11:16:44 PDT","Edison, New Jersey, United States"
"Elizabeth Arden","PRETTY Elizabeth Arden Women Perfume 3.3 / 3.4 oz EDP New tester","Eau de Parfum","15.27","US $15.27/ea","28","28 available / 126 sold","126","May 22, 2024 19:10:12 PDT","Dallas, Texas, United States"
"Thierry Mugler","Angel for Women by Thierry Mugler Eau de Parfum Spray 0.23 FL OZ / 7 ML","Eau de Parfum","18","US $18.00","10","More than 10 available / 24 sold","24","","Franklin Square, New York, United States"
"Lanvin","Jeanne Lanvin By Lanvin Paris Eau De Parfum Natural Spray 3.3 fl oz","Eau de Parfum","12.99","US $12.99","10","More than 10 available / 43 sold","43","Apr 29, 2024 08:20:31 PDT","Pembroke, North Carolina, United States"
"Designer Series","Perfumes for women La Vida Bella  100Ml 3.4fl.oz Long Lasting Natural Spray","Perfume","13.99","US $13.99","10","More than 10 available / 10 sold","10","May 22, 2024 08:03:48 PDT","Nashville, Tennessee, United States"
"Michael Kors","Michael Kors sparkling blush Eau De Parfum Spray  - 0.34oz/10mL - NIB","Eau de Parfum","19.88","US $19.88/ea","10","More than 10 available / 11 sold","11","May 21, 2024 11:58:50 PDT","Long Island City, New York, United States"
